Countries and territories,Place,Start date,End date,Level
Albania,,3/13/2020,,National
Algeria,Algiers,3/23/2020,4/19/2020,City
Algeria,Blida,3/23/2020,4/19/2020,City
Argentina,,3/19/2020,5/10/2020,National
Armenia,,3/24/2020,4/14/2020,National
Australia,,3/23/2020,,National
Austria,,3/16/2020,4/13/2020,National
Azerbaijan,,3/31/2020,4/20/2020,National
Bangladesh,,3/26/2020,4/25/2020,National
Barbados,,3/28/2020,5/3/2020,National
Belgium,,3/18/2020,4/19/2020,National
Bermuda,,4/4/2020,5/2/2020,National
Bolivia,,3/22/2020,4/15/2020,National
Botswana,,4/2/2020,4/30/2020,National
Brazil,Santa Catarina,3/17/2020,4/7/2020,State
Brazil,Sao Paulo,3/24/2020,4/8/2020,State
Chile,,3/19/2020,,National
Colombia,,3/25/2020,5/11/2020,National
Republic of the Congo,,3/31/2020,4/20/2020,National
Costa Rica,,3/23/2020,,National
Croatia,,3/18/2020,4/19/2020,National
Cuba,,3/23/2020,4/20/2020,National
Czech Republic,,3/16/2020,4/12/2020,National
Denmark,,3/11/2020,4/13/2020,National
Dominican Republic,,3/19/2020,,National
Ecuador,,3/16/2020,3/31/2020,National
El Salvador,,3/12/2020,4/2/2020,National
Eritrea,,4/2/2020,4/23/2020,National
Fiji,Lautoka,3/20/2020,4/7/2020,City
Fiji,Suva,4/3/2020,4/17/2020,City
Finland,Uusimaa,3/27/2020,4/16/2020,Region
France,,3/17/2020,5/11/2020,National
Georgia,,3/31/2020,4/21/2020,National
Germany,,3/23/2020,5/10/2020,National
Ghana,Accra,3/30/2020,4/12/2020,Metropolitan Area
Ghana,Kumasi,3/30/2020,4/12/2020,Metropolitan Area
Greece,,3/23/2020,5/4/2020,National
Guernsey,,3/25/2020,,National
Honduras,,3/20/2020,5/17/2020,National
Hungary,,3/28/2020,4/10/2020,National
India,,3/25/2020,5/18/2020,National
Iraq,,3/22/2020,4/11/2020,National
Ireland,,3/12/2020,5/18/2020,National
Israel,Bnei Brak,4/2/2020,,City
Italy,,3/9/2020,5/3/2020,National
Jamaica,Saint Catherine,4/15/2020,4/22/2020,Parish
Jordan,,3/18/2020,4/30/2020,National
Kosova,,3/14/2020,5/4/2020,National
Kuwait,,3/14/2020,3/29/2020,National
Lebanon,,3/15/2020,3/28/2020,National
Liberia,Margibi,3/23/2020,4/11/2020,County
Liberia,Montserrado,3/23/2020,4/11/2020,County
Libya,,3/22/2020,,National
Lithuania,,3/16/2020,4/27/2020,National
Luxembourg,,3/18/2020,5/25/2020,National
Madagascar,Antanonarivo,3/23/2020,,City
Madagascar,Toamasina,3/23/2020,,City
Malaysia,,3/18/2020,5/12/2020,National
Mongolia,,3/10/2020,3/16/2020,National
Montenegro,Tuzi,3/24/2020,,Municipality
Morocco,,3/19/2020,4/20/2020,National
Namibia,,3/27/2020,5/4/2020,National
Nepal,,3/24/2020,4/15/2020,National
Netherlands,,3/16/2020,4/28/2020,National
New Zealand,,3/26/2020,5/10/2020,National
Nigeria,Abuja,3/30/2020,4/12/2020,City
Nigeria,Lagos,3/30/2020,4/12/2020,City
Nigeria,Ogun,3/30/2020,4/12/2020,State
Northern Cyprus,,3/30/2020,,National
Norway,,3/12/2020,4/13/2020,National
Oman,Muscat,4/10/2020,5/29/2020,Governorate
Oman,Jalan Bani Bu Ali,4/16/2020,TBD,Province
Pakistan,,3/24/2020,5/9/2020,National
Panama,,3/25/2020,,National
Papua New Guinea,,3/24/2020,4/7/2020,National
Paraguay,,3/20/2020,4/12/2020,National
Peru,,3/16/2020,5/10/2020,National
Philippines,Cebu,3/27/2020,5/15/2020,Province
Philippines,Davao Region,3/19/2020,5/15/2020,Region
Philippines,Luzon,3/15/2020,5/15/2020,Island group
Philippines,Soccsksargen,3/23/2020,,Region
Poland,,3/13/2020,4/11/2020,National
Portugal,,3/19/2020,4/2/2020,National
Qatar,Doha Industrial Area,3/11/2020,,Industrial park
Romania,,3/25/2020,5/12/2020,National
Russia,Moscow,3/30/2020,5/12/2020,Metropolitan Area
Russia,Rest of the country,3/28/2020,4/30/2020,National
Rwanda,,3/21/2020,4/19/2020,National
Samoa,,3/26/2020,4/8/2020,National
San Marino,,3/14/2020,5/5/2020,National
Saudi Arabia,Jeddah,3/29/2020,,City
Saudi Arabia,Mecca,3/26/2020,,City
Saudi Arabia,Medina,3/26/2020,,City
Saudi Arabia,Qatif,3/9/2020,,Area
Saudi Arabia,Riyadh,3/26/2020,,City
Serbia,,3/15/2020,5/4/2020,National
Singapore,,4/7/2020,6/1/2020,National
Slovakia,,3/16/2020,4/22/2020,National
South Africa,,3/26/2020,4/30/2020,National
Spain,,3/14/2020,5/9/2020,National
Switzerland,,3/17/2020,5/11/2020,National
Thailand,,3/25/2020,5/31/2020,National
Trinidad and Tobago,,3/17/2020,3/31/2020,National
Tunisia,,3/22/2020,4/19/2020,National
Turkey,,4/23/2020,4/27/2020,National
Ukraine,,3/17/2020,4/24/2020,National
United Arab Emirates,,3/26/2020,4/17/2020,National
United Kingdom,,3/23/2020,,National
United States,California,3/19/2020,,State
United States,"Clark County, NV",3/20/2020,,County
United States,Connecticut,3/23/2020,4/22/2020,State
United States,Illinois,3/21/2020,5/30/2020,State
United States,"Kansas City, KS",3/24/2020,4/19/2020,City
United States,Massachusetts,3/24/2020,5/4/2020,State
United States,Michigan,3/24/2020,4/13/2020,State
United States,New York,3/20/2020,5/15/2020,State
United States,Oregon,3/24/2020,,State
United States,Wisconsin,3/24/2020,,State
Venezuela,,3/17/2020,5/13/2020,National
Zimbabwe,,3/30/2020,5/2/2020,National
